bot_id x y ang enc0 enc1 enc2 enc3
6 2460.22 -1182.22 1.47845 0 0 0 0
6 2459.63 -1178.21 1.47176 0 0 0 0
6 2457.28 -1179.7 1.48592 0 0 0 0
6 2460.43 -1181.37 1.48589 0 0 0 0
6 2455.62 -1180.1 1.49807 0 0 0 0
6 2456.84 -1180.85 1.47801 0 0 0 0
6 2457.56 -1179.3 1.46948 0 0 0 0
6 2457.6 -1178.06 1.48472 0 0 0 0
6 2454.69 -1175.87 1.48012 0 0 0 0
6 2456.97 -1177.93 1.48425 0 0 0 0
6 2453.94 -1179.44 1.48246 0 0 0 0
6 2455.79 -1176.98 1.47989 0 0 0 0
6 2459.3 -1179.27 1.47898 0 0 0 0
6 2455.49 -1176.67 1.48699 0 0 0 0
6 2458.12 -1179.78 1.48267 0 0 0 0
6 2454.09 -1179.85 1.48903 0 0 0 0
