avg_pos.x() avg_pos.y() avg_ang _currentEstimate.pos.x() _currentEstimate.pos.y() _currentEstimate.angle enc[0] enc[1] enc[2] enc[3] enc_reading_sum[0] enc_reading_sum[1] enc_reading_sum[2] enc_reading_sum[3]
-1.49524 4.48309 0.912343 -1.49524 4.48309 0.912343 0 0 0 0 0 0 0 0
-1.49635 4.48239 0.91878 -1.49635 4.48239 0.91878 0 0 0 0 0 0 0 0
-1.49496 4.48403 0.92006 -1.49496 4.48403 0.92006 0 0 0 0 0 0 0 0
-1.49494 4.48478 0.921292 -1.49494 4.48478 0.921292 0 0 0 0 0 0 0 0
-1.49852 4.48445 0.92295 -1.49852 4.48445 0.92295 0 0 0 0 0 0 0 0
-1.49776 4.48394 0.917522 -1.49776 4.48394 0.917522 0 0 0 0 0 0 0 0
-1.4962 4.48103 0.929243 -1.4962 4.48103 0.929243 0 0 0 0 0 0 0 0
-1.49659 4.48228 0.91924 -1.49659 4.48228 0.91924 0 0 0 0 0 0 0 0
-1.49817 4.48259 0.916976 -1.49817 4.48259 0.916976 0 0 0 0 0 0 0 0
-1.49764 4.48173 0.931341 -1.49764 4.48173 0.931341 0 0 0 0 0 0 0 0
-1.49417 4.48341 0.931392 -1.49417 4.48341 0.931392 0 0 0 0 0 0 0 0
-1.49451 4.48458 0.925334 -1.49451 4.48458 0.925334 0 0 0 0 0 0 0 0
-1.497 4.48493 0.90888 -1.497 4.48493 0.90888 0 0 0 0 0 0 0 0
-1.49676 4.48472 0.919483 -1.49676 4.48472 0.919483 0 0 0 0 0 0 0 0
-1.49253 4.48432 0.918895 -1.49253 4.48432 0.918895 0 0 0 0 0 0 0 0
-1.49448 4.48124 0.918481 -1.49448 4.48124 0.918481 0 0 0 0 0 0 0 0
-1.49896 4.48448 0.933777 -1.49896 4.48448 0.933777 0 0 0 0 0 0 0 0
-1.49654 4.48229 0.928649 -1.49654 4.48229 0.928649 0 0 0 0 0 0 0 0
-1.49715 4.48421 0.929331 -1.49715 4.48421 0.929331 0 0 0 0 0 0 0 0
-1.49585 4.48449 0.914925 -1.49585 4.48449 0.914925 0 0 0 0 0 0 0 0
-1.49773 4.48111 0.920916 -1.49773 4.48111 0.920916 0 0 0 0 0 0 0 0
-1.49556 4.48425 0.922956 -1.49556 4.48425 0.922956 0 0 0 0 0 0 0 0
-1.49493 4.48507 0.918319 -1.49493 4.48507 0.918319 0 0 0 0 0 0 0 0
-1.49676 4.48447 0.918094 -1.49676 4.48447 0.918094 0 0 0 0 0 0 0 0
-1.49832 4.48142 0.922625 -1.49832 4.48142 0.922625 0 0 0 0 0 0 0 0
-1.49347 4.48459 0.917532 -1.49347 4.48459 0.917532 0 0 0 0 0 0 0 0
-1.49715 4.48355 0.915151 -1.49715 4.48355 0.915151 0 0 0 0 0 0 0 0
-1.4924 4.48345 0.91128 -1.4924 4.48345 0.91128 0 0 0 0 0 0 0 0
-1.4946 4.48454 0.919709 -1.4946 4.48454 0.919709 0 0 0 0 0 0 0 0
-1.49556 4.4864 0.917885 -1.49556 4.4864 0.917885 0 0 0 0 0 0 0 0
-1.49583 4.48226 0.919593 -1.49583 4.48226 0.919593 0 0 0 0 0 0 0 0
-1.49526 4.4858 0.910033 -1.49526 4.4858 0.910033 0 0 0 0 0 0 0 0
-1.49744 4.48318 0.914335 -1.49744 4.48318 0.914335 0 0 0 0 0 0 0 0
-1.49617 4.48548 0.92654 -1.49617 4.48548 0.92654 0 0 0 0 0 0 0 0
-1.497 4.48493 0.916506 -1.497 4.48493 0.916506 0 0 0 0 0 0 0 0
-1.49619 4.48398 0.92008 -1.49619 4.48398 0.92008 0 0 0 0 0 0 0 0
-1.49286 4.48348 0.917473 -1.49286 4.48348 0.917473 0 0 0 0 0 0 0 0
-1.49684 4.48021 0.914483 -1.49684 4.48021 0.914483 0 0 0 0 0 0 0 0
-1.49665 4.48423 0.921802 -1.49665 4.48423 0.921802 0 0 0 0 0 0 0 0
-1.49526 4.48559 0.921451 -1.49526 4.48559 0.921451 0 0 0 0 0 0 0 0
-1.4967 4.48399 0.927362 -1.4967 4.48399 0.927362 0 0 0 0 0 0 0 0
-1.49521 4.48077 0.919184 -1.49521 4.48077 0.919184 0 0 0 0 0 0 0 0
-1.49838 4.48393 0.912162 -1.49838 4.48393 0.912162 0 0 0 0 0 0 0 0
-1.49495 4.48451 0.924103 -1.49495 4.48451 0.924103 0 0 0 0 0 0 0 0
-1.49715 4.48355 0.912855 -1.49715 4.48355 0.912855 0 0 0 0 0 0 0 0
-1.49586 4.48499 0.920938 -1.49586 4.48499 0.920938 0 0 0 0 0 0 0 0
-1.49797 4.48442 0.917064 -1.49797 4.48442 0.917064 0 0 0 0 0 0 0 0
-1.49137 4.4853 0.918293 -1.49137 4.4853 0.918293 0 0 0 0 0 0 0 0
-1.49649 4.4832 0.907331 -1.49649 4.4832 0.907331 0 0 0 0 0 0 0 0
-1.49788 4.48377 0.929863 -1.49788 4.48377 0.929863 0 0 0 0 0 0 0 0
-1.49424 4.48161 0.918873 -1.49424 4.48161 0.918873 0 0 0 0 0 0 0 0
1.49619 1.56551 -2.21724 1.49619 1.56551 -2.21724 0 0 0 0 0 0 0 0
1.49582 1.56671 -2.22362 1.49582 1.56671 -2.22362 0 0 0 0 0 0 0 0
1.49735 1.56899 -2.21636 1.49735 1.56899 -2.21636 0 0 0 0 0 0 0 0
1.49637 1.566 -2.21096 1.49637 1.566 -2.21096 0 0 0 0 0 0 0 0
